
4327	0	0	0	0	0	0	0	0	0	0	0	1
4377	295	3307	295	3307	295	3307	295	3307	0	2	33	1
4427	218	3539	218	3539	218	3539	218	3539	0	2	35	1
4477	142	3814	142	3814	142	3814	142	3814	0	1	38	1
4527	107	3970	107	3970	107	3970	107	3970	0	1	39	1
4577	52	4280	52	4280	52	4280	52	4280	0	0	42	1
4627	32	4434	32	4434	32	4434	32	4434	0	0	44	1
4678	6	4753	6	4753	6	4753	6	4753	0	0	47	1
4728	0	4903	0	4903	0	4903	0	4903	0	0	49	1
4778	4	5212	4	5212	4	5212	4	5212	0	0	52	1
4828	21	5467	21	5467	21	5467	21	5467	0	0	54	1
4878	51	5715	51	5715	51	5715	51	5715	0	0	57	1
4928	95	5971	95	5971	95	5971	95	5971	0	0	59	1
4978	153	6230	153	6230	153	6230	153	6230	0	1	62	1
5028	237	6523	237	6523	237	6523	237	6523	0	2	65	1
5078	318	6754	318	6754	318	6754	318	6754	0	3	67	1
5163	462	7100	462	7100	462	7100	462	7100	0	4	71	2
5213	589	7355	589	7355	589	7355	589	7355	0	5	73	2
5263	705	7560	705	7560	705	7560	705	7560	0	7	75	2
5313	858	7800	858	7800	858	7800	858	7800	0	8	78	2
5363	961	7948	961	7948	961	7948	961	7948	0	9	79	2
5413	1161	8204	1161	8204	1161	8204	1161	8204	0	11	82	2
5463	1289	8351	1289	8351	1289	8351	1289	8351	0	12	83	2
5513	1458	8529	1458	8529	1458	8529	1458	8529	0	14	85	2
5563	1638	8701	1638	8701	1638	8701	1638	8701	0	16	87	2
5613	1835	8871	1835	8871	1835	8871	1835	8871	0	18	88	2
5663	2037	9027	2037	9027	2037	9027	2037	9027	0	20	90	2
5718	2271	9190	2271	9190	2271	9190	2271	9190	0	22	91	2
5768	2471	9313	2471	9313	2471	9313	2471	9313	0	24	93	2
5818	2716	9448	2716	9448	2716	9448	2716	9448	0	27	94	2
5868	2964	9567	2964	9567	2964	9567	2964	9567	0	29	95	2
5919	3093	9622	3093	9622	3093	9622	3093	9622	0	30	96	2
5969	3369	9726	3369	9726	3369	9726	3369	9726	0	33	97	2
6019	3665	9818	3665	9818	3665	9818	3665	9818	0	36	98	2
6069	3893	9875	3893	9875	3893	9875	3893	9875	0	38	98	2
6119	4094	9917	4094	9917	4094	9917	4094	9917	0	40	99	2
6169	4370	9960	4370	9960	4370	9960	4370	9960	0	43	99	2
6219	4589	9983	4589	9983	4589	9983	4589	9983	0	45	99	2
6269	4904	9999	4904	9999	4904	9999	4904	9999	0	49	99	2
6319	5109	9998	5109	9998	5109	9998	5109	9998	0	51	99	2
6369	5413	9982	5413	9982	5413	9982	5413	9982	0	54	99	2
6491	5543	9970	5543	9970	5543	9970	5543	9970	0	55	99	2
6541	6211	9850	6211	9850	6211	9850	6211	9850	0	62	98	2
6591	6424	9792	6424	9792	6424	9792	6424	9792	0	64	97	2
6641	6737	9688	6737	9688	6737	9688	6737	9688	0	67	96	2
6691	6969	9595	6969	9595	6969	9595	6969	9595	0	69	95	2
6741	7178	9500	7178	9500	7178	9500	7178	9500	0	71	95	2
6791	7369	9402	7369	9402	7369	9402	7369	9402	0	73	94	2
6841	7561	9294	7561	9294	7561	9294	7561	9294	0	75	92	2
6924	7924	9055	7924	9055	7924	9055	7924	9055	0	79	90	3
6974	8123	8904	8123	8904	8123	8904	8123	8904	0	81	89	3
7024	8311	8746	8311	8746	8311	8746	8311	8746	0	83	87	3
7074	8487	8583	8487	8583	8487	8583	8487	8583	0	84	85	3
7124	8709	8352	8709	8352	8709	8352	8709	8352	0	87	83	3
7174	8837	8205	8837	8205	8837	8205	8837	8205	0	88	82	3
7224	8974	8033	8974	8033	8974	8033	8974	8033	0	89	80	3
7274	9168	7760	9168	7760	9168	7760	9168	7760	0	91	77	3
7324	9275	7592	9275	7592	9275	7592	9275	7592	0	92	75	3
7374	9409	7357	9409	7357	9409	7357	9409	7357	0	94	73	3
7424	9530	7116	9530	7116	9530	7116	9530	7116	0	95	71	3
7474	9599	6960	9599	6960	9599	6960	9599	6960	0	95	69	3
7524	9722	6643	9722	6643	9722	6643	9722	6643	0	97	66	3
7574	9794	6420	9794	6420	9794	6420	9794	6420	0	97	64	3
7624	9851	6207	9851	6207	9851	6207	9851	6207	0	98	62	3
7674	9917	5904	9917	5904	9917	5904	9917	5904	0	99	59	3
7724	9957	5653	9957	5653	9957	5653	9957	5653	0	99	56	3
7774	9979	5454	9979	5454	9979	5454	9979	5454	0	99	54	3
7824	9996	5194	9996	5194	9996	5194	9996	5194	0	99	51	3
7874	9999	4929	9999	4929	9999	4929	9999	4929	0	99	49	3
7924	9991	4710	9991	4710	9991	4710	9991	4710	0	99	47	3
